Date,Bitcoin,Gold,ETF,Stock
2014-12-31,320.1929931640625,24.221412658691406,34.3650016784668,24.521846771240234
2015-01-01,314.2489929199219,,,
2015-01-02,315.0320129394531,24.024864196777344,34.25,24.28858184814453
2015-01-03,281.0820007324219,,,
2015-01-04,264.19500732421875,,,
2015-01-05,274.4739990234375,23.772171020507812,33.875,23.604333877563477
2015-01-06,286.1889953613281,23.500757217407227,33.54999923706055,23.606552124023438
2015-01-07,294.3370056152344,24.268207550048828,34.04499816894531,23.937570571899414
2015-01-08,283.3489990234375,24.839115142822266,34.77000045776367,24.857303619384766
2015-01-09,290.4079895019531,24.904624938964844,34.415000915527344,24.883968353271484
2015-01-10,274.7959899902344,,,
2015-01-11,265.6600036621094,,,
2015-01-12,267.7959899902344,24.960779190063477,34.34000015258789,24.270803451538086
2015-01-13,225.86099243164062,24.324359893798828,34.76499938964844,24.486291885375977
2015-01-14,178.10299682617188,24.240127563476562,34.0099983215332,24.392990112304688
2015-01-15,209.843994140625,23.023439407348633,34.80500030517578,23.730958938598633
2015-01-16,208.0970001220703,23.491392135620117,35.064998626708984,23.54657745361328
2015-01-17,199.25999450683594,,,
2015-01-18,210.33900451660156,,,
2015-01-19,214.86099243164062,,35.0099983215332,
2015-01-20,211.31500244140625,22.91112518310547,35.165000915527344,24.15306282043457
2015-01-21,226.89700317382812,23.126388549804688,35.439998626708984,24.337459564208984
2015-01-22,233.406005859375,23.37908172607422,36.10499954223633,24.970613479614258
2015-01-23,232.87899780273438,23.229347229003906,36.71500015258789,25.099454879760742
2015-01-24,247.8470001220703,,,
2015-01-25,253.71800231933594,,,
2015-01-26,273.4729919433594,23.716018676757812,36.720001220703125,25.126123428344727
2015-01-27,263.4750061035156,23.641145706176758,36.224998474121094,24.246376037597656
2015-01-28,233.9149932861328,23.425886154174805,36.35499954223633,25.61708641052246
2015-01-29,233.51300048828125,24.20269012451172,36.01499938964844,26.41463851928711
2015-01-30,226.4250030517578,23.716018676757812,36.11000061035156,26.02808380126953
2015-01-31,217.46400451660156,,,
2015-02-01,226.9720001220703,,,
2015-02-02,238.22900390625,23.7908935546875,36.064998626708984,26.354652404785156
2015-02-03,227.26800537109375,24.25884437561035,36.08000183105469,26.35909652709961
2015-02-04,226.85299682617188,24.661287307739258,36.5,26.561260223388672
2015-02-05,217.11099243164062,24.520902633666992,36.64500045776367,26.75084114074707
2015-02-06,222.26600646972656,24.951417922973633,36.974998474121094,26.525575637817383
2015-02-07,227.75399780273438,,,
2015-02-08,223.41200256347656,,,
2015-02-09,220.11000061035156,25.0356502532959,36.73500061035156,26.701770782470703
2015-02-10,219.83900451660156,25.363224029541016,36.849998474121094,27.214759826660156
2015-02-11,219.18499755859375,25.21348762512207,36.95000076293945,27.852636337280273
2015-02-12,221.76400756835938,25.728229522705078,37.005001068115234,28.20503044128418
2015-02-13,235.427001953125,25.7469425201416,37.23500061035156,28.343313217163086
2015-02-14,257.3210144042969,,,
2015-02-15,234.8249969482422,,,
2015-02-16,233.84300231933594,,37.29499816894531,
2015-02-17,243.61000061035156,25.887338638305664,37.314998626708984,28.510587692260742
2015-02-18,236.3260040283203,25.86861801147461,37.54999923706055,28.709091186523438
2015-02-19,240.2830047607422,25.79374122619629,37.55500030517578,28.648868560791016
2015-02-20,243.7790069580078,25.906049728393555,37.60499954223633,28.883060455322266
2015-02-21,244.53399658203125,,,
2015-02-22,235.9770050048828,,,
2015-02-23,238.89199829101562,25.737585067749023,37.84000015258789,29.66366958618164
2015-02-24,238.73500061035156,26.345928192138672,38.029998779296875,29.478561401367188
2015-02-25,237.47000122070312,25.980928421020508,37.959999084472656,28.72469711303711
2015-02-26,236.42599487304688,25.84053611755371,38.42499923706055,29.08824920654297
2015-02-27,253.8280029296875,25.86861801147461,38.39500045776367,28.65110206604004
2015-02-28,254.26300048828125,,,
2015-03-01,260.2019958496094,,,
2015-03-02,275.6700134277344,25.887338638305664,38.51499938964844,28.79161262512207
2015-03-03,281.7019958496094,25.484886169433594,38.22999954223633,28.85183334350586
2015-03-04,273.0920104980469,25.597198486328125,38.56999969482422,28.66895294189453
2015-03-05,276.1780090332031,25.718862533569336,38.86000061035156,28.193880081176758
2015-03-06,272.7229919433594,25.101163864135742,39.03499984741211,28.23626136779785
2015-03-07,276.260986328125,,,
2015-03-08,274.35400390625,,,
2015-03-09,289.60699462890625,25.166685104370117,38.94499969482422,28.35670280456543
2015-03-10,291.760009765625,24.895265579223633,38.82500076293945,27.770112991333008
2015-03-11,296.3789978027344,25.138601303100586,39.345001220703125,27.26382064819336
2015-03-12,294.35400390625,25.466171264648438,39.54499816894531,27.756732940673828
2015-03-13,285.3370056152344,25.232187271118164,39.61000061035156,27.564918518066406
2015-03-14,281.885009765625,,,
2015-03-15,286.39300537109375,,,
2015-03-16,290.5929870605469,25.307071685791016,39.83000183105469,27.868244171142578
2015-03-17,285.5050048828125,25.09180450439453,39.709999084472656,28.334396362304688
2015-03-18,256.29901123046875,25.55040740966797,39.650001525878906,28.653329849243164
2015-03-19,260.9280090332031,25.53168487548828,39.95500183105469,28.43699073791504
2015-03-20,261.7489929199219,26.037071228027344,39.845001220703125,28.08013153076172
2015-03-21,260.0249938964844,,,
2015-03-22,267.9599914550781,,,
2015-03-23,266.739990234375,25.84053611755371,39.57500076293945,28.37230682373047
2015-03-24,245.59500122070312,26.140031814575195,39.58000183105469,28.256332397460938
2015-03-25,246.19700622558594,25.776613235473633,38.939998626708984,27.518081665039062
